昔比 黄花 笑 易安|今歌 白纻 一生 酸|玉台 朝蕣 何由 写|兀坐 凝思 任墨 干
今朝 草木 逢 新律|昨日 山川 满 战尘|同是 多情 怀古 客|不妨 为赋 吊 灵均
气尽 前溪 舞|心酸 子夜 歌|峡云 寻 不得|沟水 欲 如何
交游 有道 君无 忝|供奉 无能 我自 衰|早晚 石门 容我 去|岁寒 心事 复 重期
地迥 衣裳 冷|天高 澄霁 还|出门 迷 所适|月色 满林 关
欲将 玉律 播 平康|长见 单于 拜 未央|相国 正须 如 治郡|春风 随处 有 甘棠
霞鞍 金辔 紫丝 绦|玉带 红靴 织翠 袍|赳赳 少年 真 手臂|津津 玉气 见 眉毫
寒风 吹送 晚 来潮|水意 云情 入望 遥|雪满 空山 人 独立|霜凝 老干 木 初凋
白团 画识 春风 在|红烛 歌残 夕泪 争|从此 朝朝 仍 暮暮|可能 空逐 梦 中行
飘零 暮景 今 如许|惭愧 高人 久卧 庐|好客 儿童 总 欢喜|多情 草木 自 扶疏
梦到 北堂 惟 母接|望穿 南极 只 天知|此书 莫向 堂前 读|灵爽 如闻 也痛 悲
昔在 青华 第一 宫|祇缘 醉后 怒 骑龙|倾翻 半滴 金瓶 水|不觉 人间 雨 发洪
惊看 玉井 船如 藕|遥忆 蓬山 枣似 瓜|问讯 关门 仙 令尹|青牛 何日 返 流沙
青楼 枕 路隅|壁甃 复 椒涂|晚梦 通 帘柙|春寒 逼 酒垆
朗月 思 玄度|清言 阻 彦威|陈踪 那可 即|回首 怅 烟霏
霸业 古 台荒|天寒 野日 黄|鸡豚 秋社 酒|篱落 水云 乡
獠婢 临溪 漂 衣絮|蛮童 扫叶 续 炊薪|生涯 如此 仍 秋暮|頼是 从来 惯处 贫
万有 皆成 泡|惟情 不可 删|蹉跎 随 白发|勉强 劝 朱颜
秋水 澄溪 渌|秋山 远岸 青|村酤 因 觅句|雅放 却嫌 醒
石与 泉流 接|池通 海水 浮|十奇 多 胜槩|不及 尽 追游
论交 尚忆 清秋 月|握别 俄惊 白雁 霜|赋就 不堪 摇落 思|故人 曾否 念 倡狂
百虫 将入 蛰|一气 已归 根|今古 在 还去|光阴 朝 又昏
赤日 薄 乌帽|柴荆 无定 栖|可能 诗 似锦|乍取 醉 如泥
穷理 多 瞑目|含毫 静 倚松|终篇 浑 不寐|危坐 到 晨钟
澹粉 轻烟 佳丽 名|开天 营建 记 都城|而今 也入 烟花 绿|镫火 樊楼 似 汴京
独卓 金旌 不用 扶|灵鼍 一击 万人 呼|铁关 虽藉 金城 固|若个 人悬 碧玉 符
葩经 盈手 羞 开卷|淡泊 相遭 渭水 徊|挂榻 长封 缘我 闭|蓬门 欣扫 为君 开
红莲 锦袖 曹刚 手|珑板 腰肢 捉 板歌|何事 夜深 还 演艺|花前 争奈 月明 何
弱翁 持重 羌还 服|裴度 经营 蔡自 平|靖定 规模 天 广大|会须 混一 到 神京
今朝 车马 地|昔日 战争 场|我有 扬州 鹤|谁存 邵伯 棠
舟子 持篙 弓样 弯|天南 天北 百重 滩|篮舆 飞度 沙 溪上|野水 浮天 相对 闲
山已 多姿 了|云仍 太劣 生|浓横 半岭 白|淡扫 数峰 青
方恨 违 同气|那知 叹 肯堂|斯文 今已 矣|继踵 属 贤郎
劳君 惊 暮节|助我 思 流年|嘒若 横吹 管|繁如 未破 弦
久雨 收寒 潦|层飔 荡薄 埃|鸣蛙 鼓吹 歇|高雁 弟兄 来
几处 小帘 春 市酒|谁家 新月 夜 鸣弦|郊原 颇记 从军 地|草草 东风 又 十年
无情 水任 方圆 器|不系 舟随 去住 风|犹有 鲈鱼 莼菜 兴|来春 或拟 往 江东
巾子 山前 寺|曾分 华顶 薇|去寻 龙首 约|因些 客儿 归
耕隐 谁 人隐|门深 竹 十寻|桑麻 因雨 翠|橘柚 著秋 金
明可 鉴 秋毫|供吟 属 我曹|隔年 方得 见|终夕 敢辞 劳
草堂 临水 不生 尘|花木 成林 总是 春|遥想 潘舆 周览 处|举头 常念 未 归人
琴书 超 物表|气宇 识 神游|突兀 东南 壮|乾坤 第 一流
自昔 花 如雪|而今 叶 入云|先生 已 仙去|谁与 共 天醇
久学 秦人 避|空闻 汉主 求|丹炉 无 凤髓|石室 有 龙湫
不远 夔州 路|层波 滟滪 连|下来 千里 峡|入去 一条 天
白鹤 千 年化|黄粱 万 枕酣|区中 缘 未毕|一见 一回 惭
精诚 归 帝子|大节 凛 冰霜|慷慨 同 千古|从容 共 一堂
花鸟 欺 容膝|亲朋 劝 破颜|来逢 修禊 日|觞咏 且宜 闲
归来 不负 白 鸥盟|要听 云山 韶濩 声|钟鼎 轩裳 非我 事|从教 水到 自 渠成
青山 掩映 野 人家|翠竹 苍松 一径 斜|夜对 月钩 沉 浅浦|晓看 鸟篆 印 平沙
戍阁 凌波 钲鼓 厉|沙洲 落日 水天 清|白云 渺渺 增 惆怅|残垒 荒凉 弱 草生
皈佛 一心 怜 伴在|驱人 十口 悔 身轻|临歧 共有 沾衣 泪|却使 衰羸 暗抚 缨
人但 千 筒汲|谁知 一线 通|泉今 人惜 重|走卒 与 儿童
木落 雁声 哀|天风 下 吹台|白云 飞 不尽|平楚 意 悠哉
谗丛 薏苡 黄金 铄|宠盛 椒房 白玉 讹|一笑 东平 恰 画像|云台 公论 意 如何
缄题 千里 候 寒暄|怅恨 郊荆 独我 班|目断 樯乌 五两 远|书凭 河鲤 一双 还
火宅 回看 好自 狂|谁云 作戏 是 逢场|坐中 有识 春 归去|何事 流莺 带雨 忙
金泥 照耀 传 中旨|玉节 从容 引 上台|盛礼 永尊 徽号 毕|圣慈 南面 不胜 哀
节里 且追 千载 事|鬓边 管得 几茎 霜|正冠 落帽 都 儿态|自笑 狂夫 老不 狂
恋阙 心驰 京国 路|思亲 肠断 武林 城|男儿 此外 无他 事|莫笑 浮名 绊 此生
燕郊 秋 已甚|木叶 乱 纷纷|失路 还 为客|他乡 独 送君
未契 千年 运|终孤 百战 心|一官 端 溷子|遐及 赞 鸣琴
鸟宿 明河 断|蛩吟 古塞 连|予心 耽 寂寞|耿耿 不成 眠
塞翁 失马 吾 何有|濠上 观鱼 每 自惭|探袖 空漫 祢衡 刺|叩门 径就 阿戎 谈
翠峰 山下 连 吴会|雪浪 东来 入 海门|胸次 不留 元 字脚|金香 炉下 铁 昆仑
别后 情 无限|离怀 讬 短歌|辽西 无梦 到|更柝 恼人 多
云暗 长空 夜 不风|新年 又与 旧年 同|身前 百念 翁俱 足|但几 乡田 岁 屡丰
老骥 志 空在|孤鸾 悲 亦多|相望 才 岁许|托体 共 山阿
采茶 歌 自细|隔叶 语 微闻|断尽 征人 目|罗敷 正 不群
平湖 认 龙目|断岭 记 蜂腰|笑度 荒陂 去|风吹 酒 半消
京国 同游 两 毳袍|岁阑 归路 各 维艘|凄风 催合 南河 冻|寒色 看成 朔野 高
人世 一沤 浮|时光 如瞬 流|相违 十年 久|偶见 两心 稠
晨兴 事 行役|寸禄 此时 轻|扑面 风霜 紧|隔林 鸡犬 鸣
宵来 醉眠 处|忽为 远林 遮|三尺 短缑 烂|一程 长耳 赊
世正 矜 投笔|人谁 话 濯缨|君穷 犹 鬼瞰|我病 亦 天黥
蜀都 有 良士|家世 住 东川|鞭叱 羊 为石|丹成 犬 化仙
去年 寒食 杏花 新|扶杖 犹同 过 北邻|酒熟 欲浇 中圣 客|花红 来哭 下泉 人
长乐 与 家邻|安舆 来往 频|诗方 贻 五字|讣祇 隔 三晨
万里 鸿飞 心事 传|乍随 风色 到 吟边|相携 故侣 成 川逝|几向 西楼 看 月圆
峭壁 开 灵洞|春山 杖 短藜|花光 霞 掩映|泉溜 石 争奇
剡曲 心 频到|朱明 梦 屡飞|风光 归 遍览|不博 子陵 矶
落日 西风 捲 白沙|关山 万里 客思 家|芦花 雁断 无来 信|柿子 霜红 满树 鸦
揽佩 空 多感|临风 重 结言|寸怀 知 浩渺|孤月 度 江村
祖泽 贻遗 远|亲庭 嗣述 来|山林 欢 未足|风木 思 堪哀
漫说 葩经 无价 值|重兴 圣化 正 斯时|鸡林 色采 耀 耶岛|凤阁 和章 继 朔墀
不废 专门 学|犹存 盖世 功|时危 明 出处|道在 任 穷通
绰约 长眉 海 上仙|久餐 云母 学 长年|山中 丹井 今 无恙|为吊 南充 谢 自然
出海 帆过 港|经山 雨入 林|柴门 长自 掩|饮酒 复 弹琴
高塔 直看 淮 对境|断碑 闲忆 晋 诸贤|我来 尚喜 秋成 日|鱼蟹 堪赊 满市 边
丝在 机头 角 未干|儿孙 衣褐 眼中 完|茅檐 翁妪 自相 寿|饱暖 浑家 感 县官
诸侯 尊 客礼|幕府 慕 儒风|当忆 衡门 下|劳歌 青 桂丛
高架 插书 供 夜读|满堂 成彩 敌 春妍|相如 可是 区区 者|戏笔 题桥 亦 偶然
生死 经年 别|临风 忆 吕安|有诗 多 变徵|遗恨 负 承欢
因循 度日 那知 晚|次第 看花 直到 秋|坎止 流行 难 固必|家人 休赋 大 刀头
书生 骨相 太 邅迍|地位 还须 有福 人|老我 终身 友 麋鹿|看君 他日 上 麒麟
不祷 自安 缘 寿骨|人间 难得 是 清名|浅斟 仙酒 红生 颊|永保 长生 道 自成
二圣 临 熙运|元精 降 佐臣|人承 太岳 裔|生在 敦牂 辰
万事 束 高阁|关心 现 在身|何人 光 汗简|几辈 没 风尘
朱夏 沿堤 柳色 鲜|桐江 瑶草 坠 云天|汉庭 经术 推 高第|晋室 才华 独 著鞭
白榆 星底 开 红甲|珠树 宫中 长 紫霄|丹彩 结心 才辨 质|碧枝 抽叶 乍成 条
龙种 来 何处|流沙 路 不穷|自矜 千里 骏|曾取 贰师 功
种树 叶 还落|逢秋 月 屡圆|唯应 与 朋侣|清夜 听流 眠
势急 潮 相叠|秋来 水 益骄|渔舟 无 旦暮|只是 弄 江潮
聊借 野风 吹 醉颊|更凭 陂水 濯 尘缨|故庐 想见 春回 近|邻曲 家家 已遍 耕
世故 炎炎 随处 有|风尘 荏苒 几家 存|临风 不用 悲 华发|戍角 一声 还 断魂
水窦 羊肠 折|山篱 麂眼 编|诗来 正 清绝|松下 忽闻 鹃
西风 欲尽 当门 柳|章水 徒撑 渡马 舟|杯酒 看君 忧 世事|辽阳 金鼓 几时 休
跃马 长安 愿 已违|故园 迢递 思 依依|月明 紫水 千门 过|秋到 黄云 几处 飞
菊花 村晚 雁来 天|同住 兰舟 未 十年|今日 送君 须 尽醉|离人 独上 洞庭 船
野水 通田 白|村山 贴县 青|兵荒 犹 古道|暑暍 且 长亭
汾阳 将略 早 登坛|免胄 能令 虏 胆寒|声伎 却因 名相 减|立功 容易 处 功难
烟萝 一 洞深|清景 足游 寻|树色 连云 暝|泉声 度石 沉
晚始 亲 荆玉|劬愉 气谊 稠|泰坛 霜 月下|暑枕 夜 江头
厨夜 停 斋鼓|溪风 动 塔铃|老僧 犹识 我|此地 昔 曾经
轻风 吹起 稻 花香|独向 青山 倚 绿杨|野老 趁墟 归 已晚|满身 明月 过 横塘
老僧 夸 塔影|稚子 斲 松根|何日 天台 路|相从 一问 源
碧潭 翠影 白云 悠|深峡 无人 水 自流|乱石 嵯峨 松色 里|天教 佳景 在山 沟
林塘 残月 晓|松露 滴 清声|此日 佳人 别|空山 碧草 生
爱眠 知 不醉|省语 似 相疏|军吏 衣裳 窄|还应 暗 笑余
绮阁 云霞 满|芳林 草树 新|鸟惊 疑 欲曙|花笑 不 关春
此段 前 无古|夫人 独 与俱|祇看 秦 国语|更恐 李唐 无
书常 懒 终卷|诗亦 少 成章|忽弃 蓬窗 去|花前 又 一觞
江上 甘泉 寺|登临 擅 一州|山亭 喜 无恙|老子 得 重游
南望 潇湘 渚|词人 远忆 家|客心 随 楚水|归棹 宿 江花
也知 胜负 归 诸数|莫把 兴亡 说 与君|载笔 鹿洲 惭 信史|淋漓 未读 盾头 文
席上 浮 三楚|毫端 会 百川|名今 大年 亚|意古 惠崇 前
其何 能淑 身将 隐|无易 由言 舌莫 扪|敢道 艾年 当 服政|寻常 显晦 不须 论
劭农 恳恻 车 频驻|吊古 凄凉 酒 易醺|笑我 坐窗 甘 独冷|吟情 强半 被 愁分
香倚 黄花 岸|心清 白露 秋|林鸦 栖 未稳|飞乱 北 山头
筵敞 丹枫 侧|帆开 白鹭 边|倘能 怀 间阔|惟问 骆君 田
蕉梦 甫残 仍 泽国|粱炊 未熟 已 桑田|边书 不至 昏钟 起|独抱 丹忱 付 篆烟
鹅鹳 雄 难撼|鲸鲵 黯 不骄|雅歌 仍 缓带|知是 右文 朝
丝绕 炉烟 细|珠添 草露 纷|京华 怀 曳履|重此 应 星文
长安 今夜 月|复满 桂花 轮|笛里 三年 泪|尊前 万里 身
雪衮 寒沙 风 衮灰|眼穿 犹上 望乡 台|陇西 可是 无 回雁|不寄 平安 一字 来
北邙 山草 又 青青|今日 销魂 事可 明|绿酒 醉来 春 未歇|白杨 风起 柳 初晴
静煨 牛火 支 寒骨|动借 渔蓑 覆 病身|最惜 东溪 老 田父|杏花 时节 不成 畇
片心 应 为法|万里 独 无言|人尽 酬恩 去|平生 未 感恩
乌帽 犹冲 九陌 尘|扁舟 谁钓 两溪 春|久凭 归梦 寻 香国|忽喜 清樽 对 故人
但见 颛朝 久|谁知 媚灶 勤|纷纷 由 嬖进|非特 一 商君
薄暮 丹 洋宿|嵌岩 下 百层|饥鸢 鸣 独木|鼯鼠 抱 寒藤
三入 承明 身 最忝|十年 兄事 分 偏长|喜闻 辞日 留 前席|莫算 多时 住 水乡
交情 久隔 暮天 云|不意 寒宗 更有 君|觅句 独能 参 上乘|著书 犹幸 未 全焚
泽古 蜂 成蜜|咀华 鸟 养羞|四朝 诗史 在|掌故 更 何求
陋巷 曷其 乐|首阳 何所 求|一廛 如 好在|聊欲 与君 谋
阨穷 心 自乐|寂寞 道常 尊|老病 频辞 客|嬉游 不出 村
西竺 云 初度|南离 道始 尊|一花 滋 法雨|五蕴 契 微言
一帆 斜月 堕 澄川|似有 人呼 铁笛 仙|老至 青山 为 眷属|生来 白社 有 因缘
此风 应 小住|明日 便 相思|输与 君家 近|扶桑 五色 曦
病著 初无 恼|安来 始觉 衰|人谁 长健 底|老有 顿来 时
往来 舟向 沸汤 飞|四面 峰峦 翠作 围|风搅 雪花 潭底 出|行人 八月 已 寒衣
邻笛 哀声 急|城砧 朔气 催|芙蓉 已 委绝|谁复 可为 媒
低飞 乳燕 声 相接|小叩 华鲸 梦 亦还|共看 围棋 欲 终日|忘年 初在 立谈 间
去年 倦卧 关门 睡|前岁 扁舟 烂漫 游|莫道 迎檐 一杯 酒|婆娑 孤影 也 扶头
盛德 如何 说|由来 只是 仁|推心 无 尔界|摩手 为 吾民
深山 耕凿 居 成聚|浊世 纲常 系 此身|未敢 争墩 曾 表墓|小斋 望古 对 泉绅
旧有 诗筒 在|读来 醒睡 魂|绿林 多事 后|白社 几家 存
有营 何日 得无 悲|无欲 无时 不自 宜|竹影 一窗 泉 一曲|山斋 非是 爱 吟诗
紫橐 光 先烈|青衫 拾 世科|家声 今 益振|母训 昔 应多
避辇 风 犹在|当熊 事 已前|独令 青史 上|重续 仲仁 篇
玉雪 丰神 未 七旬|江淮 谁识 旧 儒臣|眼空 四海 归何 早|胷著 千年 汲愈 新
为文 敢谓 堪 题柱|建节 宁夸 独 出关|为语 峰头 旧 猿鹤|肯将 名利 扰 区寰
饥采 松苓 渴饮 泉|静中 最喜 日 如年|衣冠 不接 闲 宾客|只向 诗书 接 圣贤
丹雘 煌煌 殿阁 开|画栏 高倚 碧 崔嵬|瑶池 阿母 蟠桃 会|青鸟 衔书 海 上来
秋风 不设 护花 铃|任扑 云亭 又 水亭|辟荔 墙垣 犹 有剩|梧桐 院落 最 先听
莺花 愁 旅客|风雨 逼 清明|向晓 担 空笈|萧然 出 凤城
风截 阵鸿 还 挺翮|霜摧 丛菊 尚 舒妍|老夫 此日 犹能 醉|自听 馀生 不学 仙
庠序 蜚声 震 海东|骚坛 月旦 忝 随公|青衫 寥落 悲 今日|白社 衣冠 拜 下风
君家 夫婿 属 多才|况是 情同 鱼水 偕|一管 妆台 京兆 笔|画眉 应向 日边 来
楼开 静沼 难为 画|荔擘 红衣 不让 冰|想到 山堂 今夜 短|几人 吟共 一窗 灯
宿雨 生 流水|春云 媚 远山|何当 事 鸡黍|把酒 坐忘 还
春来 到处 富 群英|浮浪 应无 实 副名|独有 岁寒 三 冷友|凌霜 傲雪 伴 诗盟
隋唐 遗 一庙|香火 历 千秋|地足 扶桑 雨|山当 大海 流
客游 吾已 倦|郎署 尔方 潜|几日 乘槎 使|星河 别恨 添
笄珈 陪 墓窆|雾雨 暗 车尘|今代 谁 班范|牵连 汉传 循
归风 何急 动 征车|几夕 相逢 意 有馀|绿暗 河桥 冰泮 后|云藏 山径 雪晴 初
河出 昆仑 派 九州|屹然 砥柱 立 中流|苍松 若比 丘 山重|岂但 回头 费 万牛
宣城 何自 至|建业 始 能寻|数问 劳 修翮|相逢 结 片心
买饭 谙 争席|迎潮 竞 解舟|平生 苦吟 处|又送 一年 秋
八列 方隅 位|四周 分至 时|画疆 兴 庶务|地矩 囿天 规
七十 已 强半|所馀 能 几何|悬知 暮景 促|更觉 后生 多
仁者 寿 宜得|王臣 忠 可嘉|功名 虽 有约|云月 自 为家
满啜 禅林 五味 茶|清风 吹散 事 如麻|客中 邂逅 真 奇绝|不比 寻常 贼 破家
大块 中间 一窍 开|佛龛 僧榻 遍 岩隈|羣峰 争汎 玄云 出|绝磴 祇容 幽鸟 来
昔饮 桥西 岁月 多|梨花 深处 待郎 过|垂鞭 欲访 湔裙 约|奈此 萧萧 鬓雪 何
有意 挥吟 笔|无心 顾曲 车|慈颜 一笑 粲|戏舞 彩衣 斜
雅志 思 行古|清风 不 受尘|洁斋 家学 旧|用处 日 如新
飞盖 晓征 擎 露重|弊裘 秋绽 怯 风寒|行行 曝背 三竿 日|窅窅 关心 十八 盘
之子 从 王事|秋江 晓 问津|泛舟 千里 役|行箧 一官 贫
仆马 疲劳 甚|郊原 雨水 时|经旬 不得 信|凭槛 又 吟诗
精液 长 如湿|芬馨 久 不消|微微 沾 手汗|更见 异 香飘
帆影 悬 残照|渔歌 入 暮烟|长吟 舒 逸兴|风月 任 无边
门外 槐花 似欲 黄|高堂 应望 促 归装|个中 自有 超然 处|肯学 儿曹 一例 忙
频看 新历 知 春到|惯啖 香芹 幸 老存|闲向 芸窗 读 周易|一端 真趣 与谁 论
翠拥 山亭 漠漠 烟|晓联 飞盖 共 翩然|可堪 烽火 年年 是|酒户 河桥 减 昔年
岩花 灼灼 黍 离离|正我 东桥 送客 时|一曲 骊歌 情 不尽|岭南 天外 白云 飞
空山 暑气 少|临水 夏云 多|照影 人将 老|愁心 在夕 波
明年 已卜 丰年 瑞|旧俗 相传 瘴疠 安|空向 茅檐 堆 几处|老眸 无复 映书 看
草声 真似 过 田间|唧唧 虫催 兴 未阑|珍重 小舆 能 从我|夜深 穿遍 竹阴 寒
新月 试 新晴|扁舟 夜奔 程|咿哑 千万 意|暧乃 两三 声
夜半 分明 到 镜台|柳眉 嚬绿 杏花 腮|半羞 半喜 依依 处|又是 离人 梦觉 时
巳矣 尚 何说|因予 累 汝身|相从 穷 海外|竟作 不 归人
风木 志 馀思|犹龙 节行 奇|仰桥 空 致敬|树背 每 怀慈
往事 惊心 白发 翁|重来 雪迹 印 飞鸿|勋名 未了 将军 老|空负 鞬囊 二 石弓
觱沸 流 何所|包蒙 道 固然|讵能 甘似 醴|惟有 止 如渊
翔缨 彯组 盍 中留|绿水 芙蓉 且 漫游|过耳 从教 千 不是|处心 浑欲 一 宜休
千骑 秦原 画角 催|巡边 西过 祀鸡 台|马头 山色 褒斜 尽|雁外 秋声 汉沔 来
偃蹇 供 常病|栖迟 隔 故乡|检书 槐 月晓|移枕 竹 风凉
语抵 十年 读|尘消 一面 谋|荒村 惭 市远|徒贳 近邻 篘
简在 天心 世 所知|赐环 欣与 我 同归|耦耕 曩已 神 先受|追路 今休 咏 式微
有力 畴能 御|无根 长自 生|扫除 天际 雾|为放 日车 明
传闻 易改 新 烽火|耕凿 粗安 旧 荜门|见说 耽游 闲 送日|岁寒 丘壑 肯 相存
惊蓬 偶驻 知 多幸|断雁 重联 惬素 期|当户 小山 如 旧识|上墙 幽藓 最 相宜
东来 淮海 拜 旌旟|不把 公卿 一 字书|曾侍 晚斋 吟对 雪|又容 华馆 食兼 鱼
博洽 家声 有 自来|帝廷 曾叹 沈郎 才|六年 一令 风雩 地|万里 重登 市骏 台
白玉 堂前 夜合 花|高高 绿树 散 朱霞|朝来 如见 唐人 画|系著 谁家 白鼻 騧
秋江 木叶 下|客子 独 徘徊|瘴起 浓云 合|滩鸣 骤雨 来
旧草 扬庭 制|旋高 曳履 声|胸襟 忠愤 切|官职 去留 轻
寂寂 生 堪笑|皇皇 死 未酬|空馀 老 知识|闭户 著 穷愁
白草 江郊 暮|青帘 野店 秋|喧呼 估船 客|嵬峨 饮家 流
莺声 隔岸 邀 歌扇|花影 连湖 卧 钓翁|幽赏 未停 烟树 瞑|玉轮 飞出 海门 东
色净 心 无碍|香微 舌 尚馀|黄公 真 好事|何用 问 三车
暮雪 明 书幌|春莺 对 别筵|天池 待 鸣凤|彩翼 看 腾骞
虽享 千年 祀|难招 百战 魂|神灵 频 锡福|落日 大江 吞
绰约 芳心 与世 殊|东风 无力 可 相扶|亭亭 谁记 前年 影|缓缓 犹期 陌上 姝
小雨 破春 昏|清风 洗瘴 氛|霏微 花上 见|萧瑟 夜深 闻
未易 营 阿堵|何由 肖 乞银|佛书 端可 信|当复 转 人身
旧侣 淹 漳水|新诗 寄 汉关|凤麟 千古 色|鹓鹭 众人 班
春服 何当 咏 舞雩|凤池 今是 鲁 真儒|向令 未解 边城 戍|能对 东风 一笑 无
天气 初宜 小扇 轻|故人 不至 巷 泥深|水村 鹭去 千畦 雨|山郭 花开 四月 阴
屋有 公卿 种|世为 清白 流|诗歌 兼 颂祷|何日 共 沧洲
有明 十子 开 诗社|歇绝 风骚 二 百年|文献 销沈 羊 劫后|犹闻 谢女 有 薪传
冰柱 刘叉 素 有声|诗筒 毋惜 仆 频更|鸳鸯 瓦上 犹 留伴|一霎 南风 又 酿成
政如 渡海 携 苏过|时以 通家 候 孔融|不碍 士龙 多笑 疾|老夫 甘作 晋 司空
投簪 谁谓 早|谋拙 悔 归迟|狂极 吾 忘我|慵来 诗 戒诗
便觉 婆娑 如 此树|未应 憔悴 到 斯人|飘茵 堕溷 终何 定|珍重 明珠 不字 身
百年 总是 难忘 日|一信 无由 托便 风|曾共 月明 岩上 坐|思君 还在 月 明中
鸣榔 西上 觉 凌寒|应为 时清 好 做官|有子 已堪 书籍 付|结交 频把 佩刀 看
华阳 胜地 又 相过|古寺 逢君 感慨 多|人似 淮阴 惭 布衲|饭如 香国 见 维摩
宝剑 动 连星|金鞍 别 马鸣|持将 五色 笔|夺取 锦标 名
